SID,SEASON,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,SUBBASIN,IMD_STAGE
2014003N08086,2014,UNNAMED,2014-01-02 18:00:00,7.6,85.5,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-02 21:00:00,7.6,85.3,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 00:00:00,7.7,85.1,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 03:00:00,7.8,84.9,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 06:00:00,7.9,84.8,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 09:00:00,8.0,84.7,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 12:00:00,8.2,84.6,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 15:00:00,8.3,84.5,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 18:00:00,8.5,84.3,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-03 21:00:00,8.7,84.1,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-04 00:00:00,8.8,83.8,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-04 03:00:00,8.8,83.5,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-04 06:00:00,9.0,83.2,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-04 09:00:00,9.1,83.0,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-04 12:00:00,9.1,82.9,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-04 15:00:00,9.1,82.7,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-04 18:00:00,9.2,82.5,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-04 21:00:00,9.3,82.2,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-05 00:00:00,9.3,82.1,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-05 03:00:00,9.3,82.0,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-05 06:00:00,9.3,81.9,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-05 09:00:00,9.3,81.7,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-05 12:00:00,9.3,81.6,25.0,1004.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-05 15:00:00,9.3,81.5,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-05 18:00:00,9.3,81.4,25.0,1004.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-05 21:00:00,9.3,81.4,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-06 00:00:00,9.3,81.3,25.0,1004.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-06 03:00:00,9.3,81.1,25.0,1006.0,BB,Depression
2014003N08086,2014,UNNAMED,2014-01-06 06:00:00,9.1,80.9,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-06 09:00:00,8.9,80.7,,,BB,Super Cyclonic Storm
2014003N08086,2014,UNNAMED,2014-01-06 12:00:00,8.8,80.6,25.0,1006.0,BB,Depression
